identifier,voice_characteristics,gender,age,accent,speech_rate
UK_London_Male_59_Normal,"59 year old male with resonant, mature voice. British English accent with t-glottalization. Clear, neutral speech at measured speed with expressive pitch.",Male,59,England,Normal
USA_Los Angeles_Male_57_Slow,"57 year old male with resonant, experienced voice. West Coast American accent with relaxed vowels. Clear, enthusiastic speech at unhurried speed with monotone.",Male,57,Westcoast US,Slow
USA_Los Angeles_Female_72_Slow,"72 year old female with soprano, weathered voice. West Coast American accent with modern inflections. Clear, confident speech at deliberate speed with moderate pitch variation.",Female,72,Westcoast US,Slow
UK_London_Male_37_Normal,"37 year old male with tenor, confident voice. British English accent with t-glottalization. Clear, relaxed speech at moderate speed with monotone.",Male,37,England,Normal
USA_New York_Male_64_Slow,"64 year old male with smooth, mature voice. East Coast American accent with faster rhythm. Clear, professional speech at deliberate speed with expressive pitch.",Male,64,Eastcoast US,Slow
USA_New York_Male_34_Normal,"34 year old male with resonant, mature voice. East Coast American accent with faster rhythm. Clear, enthusiastic speech at standard speed with animated pitch.",Male,34,Eastcoast US,Normal
USA_New York_Male_36_Slow,"36 year old male with strong, established voice. East Coast American accent with strong consonants. Clear, friendly speech at unhurried speed with minimal pitch variation.",Male,36,Eastcoast US,Slow
USA_Los Angeles_Male_21_Normal,"21 year old male with resonant, energetic voice. West Coast American accent with relaxed vowels. Clear, friendly speech at measured speed with monotone.",Male,21,Westcoast US,Normal
USA_Los Angeles_Male_26_Normal,"26 year old male with deep, mature voice. West Coast American accent with relaxed vowels. Clear, confident speech at measured speed with expressive pitch.",Male,26,Westcoast US,Normal
UK_London_Female_26_Slow,"26 year old female with soft, energetic voice. British English accent with distinct vowel sounds. Clear, friendly speech at deliberate speed with animated pitch.",Female,26,England,Slow
USA_Los Angeles_Female_36_Fast,"36 year old female with clear, mature voice. West Coast American accent with California vowel shift. Clear, confident speech at accelerated speed with expressive pitch.",Female,36,Westcoast US,Fast
USA_New York_Female_54_Normal,"54 year old female with smooth, self-assured voice. East Coast American accent with faster rhythm. Clear, confident speech at conversational speed with moderate pitch variation.",Female,54,Eastcoast US,Normal
UK_London_Male_45_Normal,"45 year old male with warm, seasoned voice. British English accent with non-rhotic pronunciation. Clear, confident speech at measured speed with expressive pitch.",Male,45,England,Normal
USA_Dallas_Male_21_Normal,"21 year old male with gravelly, youthful voice. Southern American accent with melodic intonation. Clear, thoughtful speech at measured speed with expressive pitch.",Male,21,South US,Normal
USA_Los Angeles_Male_31_Fast,"31 year old male with tenor, confident voice. West Coast American accent with minimal regional markers. Clear, relaxed speech at quick speed with animated pitch.",Male,31,Westcoast US,Fast
USA_Chicago_Male_19_Fast,"19 year old male with baritone, energetic voice. Midwestern American accent with clear 'r' pronunciation. Clear, confident speech at accelerated speed with monotone.",Male,19,Midwest US,Fast
IND_Delhi_Male_42_Fast,"42 year old male with strong, well-developed voice. Indian accent with unique intonation. Clear, thoughtful speech at quick speed with expressive pitch.",Male,42,India,Fast
USA_Miami_Female_45_Fast,"45 year old female with soprano, experienced voice. Latin American accent with syllable-timed pattern. Clear, neutral speech at quick speed with minimal pitch variation.",Female,45,Latin,Fast
USA_Los Angeles_Male_27_Fast,"27 year old male with strong, confident voice. West Coast American accent with modern inflections. Clear, enthusiastic speech at accelerated speed with animated pitch.",Male,27,Westcoast US,Fast
